"name","lon","lat","inn","tavern","bar","region"
"Red Lion Hotel",-0.3180296,51.6846462,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.5842017,51.9618807,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.1813134,51.8525338,FALSE,FALSE,FALSE,"England"
"Old Red Lion",-0.3369687,51.7200432,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.6675267,51.4775279,FALSE,FALSE,FALSE,"England"
"Red Lion",1.6797022,52.325015,FALSE,FALSE,FALSE,"England"
"The Red Lion",0.4078476,51.6872434,FALSE,FALSE,FALSE,"England"
"The Red Lion",1.3639255,52.7280161,FALSE,FALSE,FALSE,"England"
"Red Lion",0.538453,52.062627,FALSE,FALSE,FALSE,"England"
"The Red Lion",1.0015015,52.4333023,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.526787,51.5189572,FALSE,FALSE,FALSE,"England"
"Red Lion",0.6410934,51.8004996,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.3662379,51.6449778,FALSE,FALSE,FALSE,"England"
"The Red Lion",1.2087566,51.9890578,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.3713874,51.5105345,FALSE,FALSE,FALSE,"England"
"The Red Lion",1.269446,52.3841653,FALSE,FALSE,FALSE,"England"
"Old Red Lion",-0.527449,51.9094345,FALSE,FALSE,FALSE,"England"
"The Red Lion",1.3209321,52.0943397,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.7343543,51.6749875,FALSE,FALSE,FALSE,"England"
"Old Red Lion",-0.1054906,51.531526,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.1990388,51.6524746,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.1575665,51.3784088,FALSE,FALSE,FALSE,"England"
"Red Lion",0.0217378,51.4099845,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.6128732,55.3882593,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.5014495,54.7139995,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.9960746,55.759234,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.3091592,54.5869878,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.0079345,55.7717213,FALSE,FALSE,FALSE,"England"
"Red Lion Inn",-2.10437,55.5985996,TRUE,FALSE,FALSE,"England"
"The Red Lion",-1.3362765,54.7599746,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.9829295,54.5720351,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.6470618,54.6339079,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.5544639,54.525611,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.5776837,54.8981669,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.5738143,54.8580189,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.4552449,54.9423565,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.4960131,55.0455945,FALSE,FALSE,FALSE,"England"
"Red Lion Ph",-2.9563914,53.1430705,FALSE,FALSE,FALSE,"Wales"
"Red Lion Hotel",-2.7650812,53.0199358,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.2291028,53.4313335,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.0162458,53.9620051,FALSE,FALSE,FALSE,"England"
"Red Lion",-3.1308213,53.2079143,FALSE,FALSE,FALSE,"Wales"
"Red Lion",-2.4493258,53.0447377,FALSE,FALSE,FALSE,"England"
"Red Lion Hotel",-1.9520399,54.046683,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.2808636,53.2225849,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.1134768,53.4560703,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.9594249,53.0905282,FALSE,FALSE,FALSE,"Wales"
"Red Lion",-2.0682748,53.3638005,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.0632609,53.5465442,FALSE,FALSE,FALSE,"England"
"The Red Lion",-3.082955,53.2952065,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.6586208,53.3828992,FALSE,FALSE,FALSE,"England"
"Red Lion",-3.2221083,53.2734853,FALSE,FALSE,FALSE,"Wales"
"Red Lion Hotel",-3.528482,54.4813955,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.5816744,53.3709375,FALSE,FALSE,FALSE,"England"
"Red Lion Ph",-2.6379786,53.1694553,FALSE,FALSE,FALSE,"England"
"Red Lion Ph",-2.6021353,53.1835596,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.8931121,53.1931825,FALSE,FALSE,FALSE,"England"
"Red Lion Ph",-2.7249525,53.2967194,FALSE,FALSE,FALSE,"England"
"The Red Lion Inn",-3.0716957,53.1825262,TRUE,FALSE,FALSE,"Wales"
"Red Lion",-2.4895218,53.5240749,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.4689109,53.5480917,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.993911,54.417825,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.3055325,53.4989755,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.0925132,53.6437211,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.4564734,53.4143002,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.1671454,53.8573344,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.5279976,54.3233593,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.5938246,53.3951653,FALSE,FALSE,FALSE,"England"
